geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete
State,,Ohio,All,2009-10,201013,,,177,2166,8.171745152,105.2382713
State,,Hawaii,All,2009-10,201031,,,13,164,7.926829268,86.39411201
State,,Michigan,All,2009-10,201032,,,110,1606,6.849315069,95.11899297
State,,Georgia,All,2009-10,201008,,,122,1451,8.407994487,107.0682357
State,,West Virginia,All,2009-10,201022,,,30,361,8.310249308,87.57254283
Region,6,,All,2009-10,201025,1,340,341,5040,6.765873016,90.66589545
State,,Iowa,All,2009-10,201038,,,38,485,7.835051546,90.86386332
State,,South Carolina,All,2009-10,201027,,,71,758,9.366754617,95.08324631
State,,Massachusetts,All,2009-10,201027,,,84,1007,8.341608739,99.72800978
State,,Alaska,All,2009-10,201017,,,8,78,10.25641026,108.2110853
State,,Virginia,All,2009-10,201033,,,61,1015,6.009852217,88.65703205
