geoid,Region,State,age,season,MMWR Year/Week,Deaths from influenza,Deaths from pneumonia,Deaths from pneumonia and influenza,All Deaths,Pecent of deaths due to pneumonia or influenza,pecent complete
State,,Kansas,All,2011-12,201235,,,40,492,8.130081301,104.3462378
State,,Maryland,All,2011-12,201142,,,59,812,7.266009852,97.4733928
State,,California,All,2011-12,201213,,,483,4747,10.17484727,104.6914307
State,,Connecticut,All,2011-12,201148,,,46,576,7.986111111,103.9379053
State,,South Carolina,All,2011-12,201214,,,64,810,7.901234568,101.6061075
State,,Missouri,All,2011-12,201149,,,74,1083,6.832871653,102.6112146
State,,Colorado,All,2011-12,201237,,,40,594,6.734006734,96.9284822
State,,Montana,All,2011-12,201203,,,16,149,10.73825503,88.6753232
State,,California,All,2011-12,201237,,,372,4366,8.520384792,96.28876902
State,,Connecticut,All,2011-12,201222,,,33,524,6.297709924,94.55462214
State,,Ohio,All,2011-12,201212,,,212,2213,9.579755987,107.5218349
State,,Nebraska,All,2011-12,201224,,,21,318,6.603773585,108.9023251
Region,4,,All,2011-12,201148,5,700,705,10515,6.704707561,100.9186593
Region,7,,All,2011-12,201235,1,161,162,2320,6.982758621,98.60936553
State,,Mississippi,All,2011-12,201220,,,29,546,5.311355311,98.53127833
State,,Montana,All,2011-12,201222,,,15,165,9.090909091,98.19750555
State,,Massachusetts,All,2011-12,201149,,,90,997,9.027081244,98.73766212
State,,Wisconsin,All,2011-12,201217,,,60,842,7.125890736,92.9045814
State,,Iowa,All,2011-12,201228,,,19,484,3.925619835,90.67651515
National,,,All,2011-12,201149,1,3741,3742,48733,7.678575093,102.4243634
Region,7,,All,2011-12,201237,0,167,167,2247,7.432131731,95.50657084
State,,Michigan,All,2011-12,201218,,,120,1777,6.752954418,105.2468559
State,,Nebraska,All,2011-12,201221,,,22,291,7.560137457,99.65590129
State,,New Hampshire,All,2011-12,201225,,,15,201,7.462686567,100.6951269
State,,South Dakota,All,2011-12,201150,,,12,154,7.792207792,112.4716078
State,,New Hampshire,All,2011-12,201152,,,14,218,6.422018349,109.2116302
State,,Pennsylvania,All,2011-12,201206,,,182,2542,7.159716759,105.5058753
State,,Tennessee,All,2011-12,201238,,,93,1144,8.129370629,100.0054374
Region,10,,All,2011-12,201221,1,132,133,1788,7.438478747,96.86485029
State,,Rhode Island,All,2011-12,201204,,,30,207,14.49275362,114.3797589
State,,South Carolina,All,2011-12,201229,,,46,818,5.623471883,102.6096246
State,,South Carolina,All,2011-12,201223,,,54,771,7.003891051,96.71396161
Region,3,,All,2011-12,201224,1,303,304,4923,6.175096486,97.74733308
State,,Indiana,All,2011-12,201201,,,114,1200,9.5,109.4102404
State,,Indiana,All,2011-12,201233,,,57,1006,5.666003976,91.72225155
State,,North Dakota,All,2011-12,201217,,,15,129,11.62790698,113.3338938
State,,New Hampshire,All,2011-12,201141,,,7,175,4,87.66988662
State,,New York,All,2011-12,201226,,,121,1765,6.855524079,96.81487372
State,,North Carolina,All,2011-12,201206,,,135,1517,8.899143046,100.0192434
State,,Alabama,All,2011-12,201204,,,74,933,7.931404073,101.0153494
State,,California,All,2011-12,201145,,,433,4707,9.199065222,103.8092615
Region,5,,All,2011-12,201142,2,632,634,8571,7.397036519,101.7078115
State,,New York,All,2011-12,201143,,,149,1886,7.900318134,103.4520407
State,,Minnesota,All,2011-12,201201,,,68,800,8.5,107.0820151
State,,District of Columbia,All,2011-12,201230,,,8,102,7.843137255,114.2137691
State,,Connecticut,All,2011-12,201205,,,49,586,8.361774744,105.7423828
State,,New Mexico,All,2011-12,201230,,,21,295,7.118644068,95.41459036
State,,Tennessee,All,2011-12,201204,,,120,1204,9.966777409,105.2504779
State,,Rhode Island,All,2011-12,201217,,,13,176,7.386363636,97.25042301
State,,Oklahoma,All,2011-12,201232,,,48,705,6.808510638,101.2520358
State,,Mississippi,All,2011-12,201218,,,39,581,6.712564544,104.8473859
Region,6,,All,2011-12,201222,1,383,384,5510,6.969147005,99.12084999
State,,Montana,All,2011-12,201212,,,17,175,9.714285714,104.1488695
State,,New Hampshire,All,2011-12,201230,,,14,193,7.25388601,96.68736068
State,,District of Columbia,All,2011-12,201140,,,3,97,3.092783505,108.6150549
State,,Colorado,All,2011-12,201235,,,28,571,4.903677758,93.17535915
State,,Pennsylvania,All,2011-12,201149,,,154,2465,6.247464503,102.3099852
State,,Oklahoma,All,2011-12,201203,,,79,733,10.77762619,105.2733932
National,,,0-17 years,2011-12,201145,0,8,8,704,1.136363636,102.2267994
Region,8,,All,2011-12,201148,0,108,108,1414,7.637906648,100.9168798
State,,Tennessee,All,2011-12,201229,,,94,1103,8.522212149,96.42132649
State,,South Dakota,All,2011-12,201208,,,17,163,10.42944785,119.0446238
National,,,All,2011-12,201202,7,4245,4252,50962,8.343471606,107.1091542
State,,South Carolina,All,2011-12,201149,,,66,805,8.198757764,100.9789093
Region,6,,All,2011-12,201234,0,367,367,5490,6.684881603,98.76106469
Region,7,,All,2011-12,201210,12,246,258,2554,10.1018011,108.5553102
State,,Arizona,All,2011-12,201218,,,56,936,5.982905983,103.1951764
State,,Kentucky,All,2011-12,201235,,,72,803,8.96637609,99.1123841
State,,Pennsylvania,All,2011-12,201220,,,141,2360,5.974576271,97.95195342
State,,Minnesota,All,2011-12,201141,,,49,784,6.25,104.9403748
State,,Ohio,All,2011-12,201210,,,215,2310,9.307359307,112.2347214
State,,Virginia,All,2011-12,201220,,,69,1079,6.394810009,94.24722914
State,,North Dakota,All,2011-12,201239,,,9,115,7.826086957,101.0340914
State,,Montana,All,2011-12,201205,,,14,187,7.486631016,111.2905063
Region,2,,All,2011-12,201219,1,328,329,4019,8.186115949,96.83142796
Region,8,,All,2011-12,201150,1,107,108,1471,7.341944256,104.9849577
State,,Iowa,All,2011-12,201201,,,45,605,7.438016529,113.3456439
State,,Missouri,All,2011-12,201230,,,62,1038,5.973025048,98.34759075
State,,Illinois,All,2011-12,201152,,,162,2055,7.883211679,106.4603205
Region,10,,All,2011-12,201231,0,111,111,1737,6.390328152,94.10192671
Region,8,,All,2011-12,201201,2,121,123,1478,8.322056834,105.4845462
Region,1,,All,2011-12,201146,0,214,214,2291,9.340899171,100.0718951
State,,Vermont,All,2011-12,201146,,,11,97,11.34020619,96.68081454
National,,,All,2011-12,201152,10,3970,3980,49955,7.967170453,104.9926964
State,,Tennessee,All,2011-12,201209,,,119,1235,9.63562753,107.9604154
State,,Hawaii,All,2011-12,201230,,,17,199,8.542713568,104.8318798
State,,Nevada,All,2011-12,201145,,,21,377,5.570291777,98.7084085
State,,Arkansas,All,2011-12,201221,,,44,586,7.508532423,104.7323414
National,,,18-64 years,2011-12,201235,0,531,531,12214,4.347470116,97.35705503
State,,Colorado,All,2011-12,201236,,,29,619,4.684975767,101.0079638
State,,North Dakota,All,2011-12,201221,,,3,103,2.912621359,90.49140359
State,,Missouri,All,2011-12,201205,,,87,1088,7.996323529,103.0849506
State,,Pennsylvania,All,2011-12,201211,,,182,2569,7.084468665,106.626512
State,,Iowa,All,2011-12,201235,,,41,529,7.75047259,99.10718288
State,,Georgia,All,2011-12,201238,,,85,1390,6.115107914,102.56709
State,,Maine,All,2011-12,201222,,,24,212,11.32075472,86.70332466
State,,North Dakota,All,2011-12,201231,,,11,115,9.565217391,101.0340914
State,,Pennsylvania,All,2011-12,201233,,,139,2274,6.112576957,94.38251783
Region,4,,All,2011-12,201209,5,857,862,11089,7.773469204,106.427676
State,,Vermont,All,2011-12,201201,,,13,116,11.20689655,115.6182937
Region,6,,All,2011-12,201210,7,513,520,6066,8.57237059,109.1228813
State,,Minnesota,All,2011-12,201210,,,66,775,8.516129032,103.7357021
State,,Alaska,All,2011-12,201239,,,2,72,2.777777778,99.88715566
State,,Mississippi,All,2011-12,201206,,,31,533,5.816135084,96.18529551
State,,Delaware,All,2011-12,201144,,,9,144,6.25,97.51798328
Region,5,,All,2011-12,201146,2,647,649,8464,7.667769376,100.4380955
State,,New Mexico,All,2011-12,201145,,,21,324,6.481481482,104.7943298
State,,Nevada,All,2011-12,201205,,,32,413,7.748184019,108.1341451
State,,Virginia,All,2011-12,201152,,,77,1138,6.766256591,99.40069209
Region,5,,All,2011-12,201145,2,692,694,8601,8.068829206,102.0638066
State,,New York,All,2011-12,201219,,,155,1797,8.625486923,98.57015755
State,,Montana,All,2011-12,201221,,,8,174,4.597701149,103.5537331
Region,5,,All,2011-12,201226,2,507,509,8018,6.348216513,95.14563438
State,,Arizona,All,2011-12,201208,,,67,1002,6.686626747,110.4717593
State,,Pennsylvania,All,2011-12,201142,,,157,2479,6.333198871,102.8910562
Region,2,,All,2011-12,201204,0,363,363,4509,8.050565536,108.6372005
State,,New Hampshire,All,2011-12,201239,,,12,196,6.12244898,98.19027302
State,,Oklahoma,All,2011-12,201224,,,56,697,8.034433286,100.1030765
State,,Hawaii,All,2011-12,201213,,,26,200,13,105.3586732
State,,Missouri,All,2011-12,201211,,,116,1169,9.923011121,110.7594736
State,,Utah,All,2011-12,201147,,,23,297,7.744107744,103.9975204
State,,Rhode Island,All,2011-12,201233,,,14,146,9.589041096,80.67364636
State,,Vermont,All,2011-12,201216,,,15,108,13.88888889,107.6446183
State,,Wisconsin,All,2011-12,201209,,,58,952,6.092436975,105.0417595
State,,Maryland,All,2011-12,201146,,,62,865,7.167630058,103.8355724
State,,Vermont,All,2011-12,201149,,,13,99,13.13131313,98.67423339
National,,,65 years and older,2011-12,201202,5,3532,3537,37756,9.368047463,107.1091542
State,,Minnesota,All,2011-12,201209,,,63,731,8.618331053,97.84619129
State,,Louisiana,All,2011-12,201204,,,45,769,5.851755527,98.30571713
State,,Georgia,All,2011-12,201145,,,92,1361,6.759735489,100.4272011
Region,9,,All,2011-12,201231,1,453,454,5804,7.822191592,96.5232759
State,,Louisiana,All,2011-12,201221,,,41,746,5.495978552,95.36549413
State,,Wisconsin,All,2011-12,201228,,,60,912,6.578947368,100.6282402
State,,Idaho,All,2011-12,201218,,,15,212,7.075471698,95.37011128
State,,Idaho,All,2011-12,201143,,,15,215,6.976744186,96.71968833
State,,Pennsylvania,All,2011-12,201234,,,148,2296,6.445993031,95.29562926
State,,Alabama,All,2011-12,201230,,,55,933,5.894962487,101.0153494
Region,6,,All,2011-12,201144,1,363,364,5589,6.512792986,100.5420019
State,,Alabama,All,2011-12,201221,,,65,881,7.377979569,95.38534063
State,,California,All,2011-12,201147,,,431,4531,9.512248952,99.927717
State,,Minnesota,All,2011-12,201228,,,53,721,7.350901526,96.5076661
Region,9,,All,2011-12,201149,0,556,556,6343,8.765568343,105.4871018
State,,Texas,All,2011-12,201201,,,316,3493,9.046664758,108.7607563
State,,California,All,2011-12,201146,,,442,4631,9.544374865,102.13314
State,,New York,All,2011-12,201203,,,174,1981,8.783442706,108.6630396
State,,Kansas,All,2011-12,201202,,,50,505,9.900990099,107.1033538
State,,Massachusetts,All,2011-12,201147,,,80,971,8.238928939,96.16275819
State,,Oregon,All,2011-12,201224,,,36,691,5.20984081,112.1605144
State,,New Mexico,All,2011-12,201234,,,12,286,4.195804196,92.50363676
National,,,All,2011-12,201142,5,3317,3322,46921,7.079985508,98.61600059
State,,Hawaii,All,2011-12,201205,,,23,204,11.2745098,107.4658467
State,,Oklahoma,All,2011-12,201234,,,51,662,7.703927492,95.07637968
State,,New York City,All,2011-12,201152,,,105,1028,10.21400778,103.2426095
State,,New Hampshire,All,2011-12,201142,,,15,195,7.692307692,97.68930224
State,,Mississippi,All,2011-12,201149,,,35,571,6.129597198,103.0427838
State,,Alaska,All,2011-12,201231,,,3,72,4.166666667,99.88715566
State,,Colorado,All,2011-12,201220,,,37,626,5.910543131,102.1502186
Region,8,,All,2011-12,201215,6,112,118,1491,7.914151576,106.4123535
State,,Delaware,All,2011-12,201238,,,7,134,5.223880597,90.74590111
State,,Connecticut,All,2011-12,201224,,,40,536,7.462686567,96.71999517
State,,New Mexico,All,2011-12,201221,,,22,310,7.096774194,100.2661797
Region,2,,All,2011-12,201220,1,299,300,4028,7.447864945,97.04826868
State,,Massachusetts,All,2011-12,201237,,,68,940,7.234042553,93.09268043
National,,,All,2011-12,201220,16,3329,3345,46996,7.117627032,98.7736315
State,,Maine,All,2011-12,201214,,,34,258,13.17829457,105.5163102
State,,Minnesota,All,2011-12,201221,,,53,706,7.507082153,94.49987832
State,,New York,All,2011-12,201233,,,115,1656,6.944444444,90.83593818
State,,Maryland,All,2011-12,201147,,,55,869,6.329113924,104.3157369
State,,New Mexico,All,2011-12,201211,,,41,332,12.34939759,107.3818441
State,,New Mexico,All,2011-12,201224,,,33,343,9.620991254,110.9396763
State,,Colorado,All,2011-12,201144,,,36,557,6.463195691,90.89084947
State,,Massachusetts,All,2011-12,201217,,,81,1000,8.1,99.03476642
State,,Arizona,All,2011-12,201224,,,54,935,5.77540107,103.0849251
State,,Nevada,All,2011-12,201221,,,24,402,5.970149254,105.2540589
State,,Massachusetts,All,2011-12,201226,,,73,927,7.874865156,91.80522847
State,,Mississippi,All,2011-12,201209,,,42,585,7.17948718,105.5692268
State,,Colorado,All,2011-12,201225,,,34,598,5.685618729,97.58119925
Region,10,,All,2011-12,201207,0,155,155,1916,8.089770355,103.7992467
State,,South Dakota,All,2011-12,201140,,,21,133,15.78947368,97.13457036
National,,,All,2011-12,201216,37,3690,3727,48896,7.622300393,102.766948
State,,Delaware,All,2011-12,201140,,,10,176,5.681818182,119.1886462
State,,New York,All,2011-12,201222,,,133,1732,7.678983834,95.00473727
National,,,65 years and older,2011-12,201208,20,3450,3470,37603,9.227987129,106.962032
State,,Wisconsin,All,2011-12,201208,,,73,961,7.596253902,106.0348013
State,,Idaho,All,2011-12,201151,,,15,226,6.637168142,101.6681375
State,,Connecticut,All,2011-12,201215,,,52,589,8.82852292,106.283726
State,,Delaware,All,2011-12,201228,,,9,159,5.660377359,107.6761065
State,,Minnesota,All,2011-12,201219,,,52,703,7.396870555,94.09832076
State,,Rhode Island,All,2011-12,201142,,,13,167,7.784431138,92.27739002
Region,8,,All,2011-12,201147,0,102,102,1400,7.285714286,99.91770278
Region,1,,All,2011-12,201207,0,245,245,2466,9.935117599,107.7159726
Region,2,,All,2011-12,201232,0,296,296,3963,7.469089074,95.48219681
State,,Montana,All,2011-12,201217,,,9,160,5.625,95.22182357
State,,Utah,All,2011-12,201144,,,17,289,5.882352941,101.1962404
State,,North Dakota,All,2011-12,201237,,,7,117,5.982905983,102.791206
State,,Oklahoma,All,2011-12,201209,,,78,735,10.6122449,105.560633
State,,Louisiana,All,2011-12,201208,,,57,827,6.892382104,105.7201926
State,,Illinois,All,2011-12,201223,,,126,1771,7.114624506,91.74755597
State,,Maryland,All,2011-12,201218,,,71,834,8.513189448,100.1142975
State,,Texas,All,2011-12,201223,,,199,3144,6.329516539,97.89402174
State,,Oregon,All,2011-12,201152,,,44,672,6.547619048,109.0765061
State,,Wyoming,All,2011-12,201203,,,7,84,8.333333333,100.034188
Region,10,,All,2011-12,201143,0,120,120,1807,6.640841173,97.89417477
State,,Connecticut,All,2011-12,201230,,,28,515,5.436893204,92.93059237
State,,Minnesota,All,2011-12,201238,,,38,758,5.013192612,101.4602093
State,,Delaware,All,2011-12,201230,,,9,153,5.882352941,103.6128572
Region,10,,All,2011-12,201226,1,116,117,1781,6.569343066,96.48562549
State,,Maryland,All,2011-12,201231,,,61,815,7.484662577,97.83351617
State,,Mississippi,All,2011-12,201140,,,35,532,6.578947368,96.0048353
Region,4,,All,2011-12,201152,1,776,777,10643,7.300573147,102.1471508
State,,Alabama,All,2011-12,201217,,,55,971,5.664263646,105.1295866
State,,Alaska,All,2011-12,201205,,,5,74,6.756756757,102.6617989
State,,Virginia,All,2011-12,201148,,,90,1142,7.880910683,99.75007941
State,,Wisconsin,All,2011-12,201232,,,44,796,5.527638191,87.8290342
State,,Arkansas,All,2011-12,201148,,,48,564,8.510638298,100.8004105
State,,California,All,2011-12,201142,,,355,4291,8.273129807,94.63470175
State,,District of Columbia,All,2011-12,201216,,,8,85,9.411764706,95.17814091
State,,Maryland,All,2011-12,201141,,,61,857,7.117852976,102.8752434
State,,North Carolina,All,2011-12,201218,,,138,1519,9.084924292,100.1511079
State,,Connecticut,All,2011-12,201210,,,56,594,9.427609428,107.1859648
Region,5,,All,2011-12,201225,1,559,560,8236,6.799417193,97.73253239
State,,Wyoming,All,2011-12,201230,,,2,92,2.173913044,109.5612536
State,,Colorado,All,2011-12,201207,,,49,690,7.101449275,112.5936914
State,,Nebraska,All,2011-12,201201,,,29,292,9.931506849,99.99836144
Region,10,,All,2011-12,201228,0,116,116,1860,6.23655914,100.7654483
State,,Louisiana,All,2011-12,201203,,,54,848,6.367924528,108.404744
State,,Idaho,All,2011-12,201212,,,14,234,5.982905983,105.2670096
Region,7,,All,2011-12,201149,0,204,204,2434,8.381265407,103.4548257
State,,Indiana,All,2011-12,201152,,,106,1196,8.862876254,109.0455396
State,,Illinois,All,2011-12,201206,,,154,1949,7.901487943,100.9689365
State,,Minnesota,All,2011-12,201150,,,62,781,7.938540333,104.5388172
State,,Maryland,All,2011-12,201227,,,45,874,5.148741419,104.9159425
Region,10,,All,2011-12,201219,0,128,128,1911,6.698063841,103.5283719
State,,New Hampshire,All,2011-12,201238,,,12,195,6.153846154,97.68930224
State,,Tennessee,All,2011-12,201205,,,116,1235,9.392712551,107.9604154
State,,Virginia,All,2011-12,201232,,,61,1172,5.204778157,102.3704843
State,,Arizona,All,2011-12,201151,,,61,885,6.892655367,97.57236228
State,,Nebraska,All,2011-12,201203,,,24,300,8,102.7380426
State,,Wisconsin,All,2011-12,201226,,,52,824,6.310679612,90.91849771
State,,Arkansas,All,2011-12,201227,,,39,542,7.195571956,96.86847956
State,,Indiana,All,2011-12,201218,,,92,1108,8.303249098,101.022122
State,,Michigan,All,2011-12,201206,,,138,1692,8.156028369,100.212538
State,,Tennessee,All,2011-12,201208,,,116,1283,9.041309431,112.1564478
State,,New Mexico,All,2011-12,201208,,,36,361,9.972299169,116.7615835
State,,Florida,All,2011-12,201224,,,173,3399,5.089732274,102.4326624
State,,Florida,All,2011-12,201149,,,182,3318,5.485232068,99.99163687
State,,Maine,All,2011-12,201148,,,22,246,8.943089431,100.6085748
State,,Maryland,All,2011-12,201223,,,54,763,7.077326343,91.59137772
National,,,65 years and older,2011-12,201222,6,2575,2581,33203,7.77339397,96.73493837
State,,Kansas,All,2011-12,201238,,,27,464,5.818965517,98.40783398
State,,West Virginia,All,2011-12,201238,,,34,425,8,103.097869
State,,Massachusetts,All,2011-12,201213,,,83,1005,8.258706468,99.52994025
State,,Alabama,All,2011-12,201216,,,65,965,6.735751295,104.4799702
State,,Minnesota,All,2011-12,201211,,,69,781,8.834827145,104.5388172
State,,Maine,All,2011-12,201141,,,14,245,5.714285714,100.1995969
State,,Maryland,All,2011-12,201224,,,57,848,6.721698113,101.7948733
State,,Alaska,All,2011-12,201225,,,2,81,2.469135803,112.3730501
State,,North Carolina,All,2011-12,201227,,,120,1558,7.702182285,102.7224662
State,,Montana,All,2011-12,201143,,,6,174,3.448275862,103.5537331
State,,Kansas,All,2011-12,201220,,,32,453,7.06401766,96.07488964
State,,New Hampshire,All,2011-12,201233,,,12,197,6.091370558,98.6912438
State,,New York,All,2011-12,201205,,,169,1892,8.932346723,103.7811564
State,,Indiana,All,2011-12,201202,,,87,1173,7.416879795,106.94851
State,,Washington,All,2011-12,201232,,,72,906,7.947019868,96.85527514
State,,South Carolina,All,2011-12,201211,,,61,844,7.227488152,105.8710553
State,,Kansas,All,2011-12,201146,,,35,503,6.958250497,106.6791821
Region,7,,All,2011-12,201201,0,216,216,2547,8.480565371,108.2577819
State,,Alabama,All,2011-12,201219,,,60,905,6.629834254,97.98380621
State,,Alabama,All,2011-12,201142,,,55,878,6.264236902,95.06053244
National,,,0-17 years,2011-12,201230,0,16,16,695,2.302158273,95.95308904
State,,Kentucky,All,2011-12,201141,,,69,825,8.363636364,101.8277919
State,,Georgia,All,2011-12,201140,,,65,1361,4.775900074,100.4272011
State,,Georgia,All,2011-12,201219,,,69,1308,5.275229358,96.51636957
State,,Idaho,All,2011-12,201214,,,17,228,7.456140351,102.5678555
Region,2,,All,2011-12,201208,1,380,381,4240,8.985849057,102.1560723
State,,Virginia,All,2011-12,201143,,,79,1102,7.168784029,96.25620622
State,,North Dakota,All,2011-12,201144,,,14,109,12.8440367,95.76274749
State,,West Virginia,All,2011-12,201228,,,35,427,8.196721312,103.5830354
State,,Montana,All,2011-12,201208,,,11,170,6.470588235,101.1731875
Region,8,,All,2011-12,201210,3,125,128,1561,8.199871877,111.4082386
State,,Illinois,All,2011-12,201229,,,125,1758,7.110352674,91.07408436
State,,Washington,All,2011-12,201207,,,85,992,8.568548387,106.049043
Region,3,,All,2011-12,201206,0,394,394,5257,7.49476888,104.3789823
State,,Florida,All,2011-12,201203,,,193,3551,5.435088707,107.0133522
State,,New Hampshire,All,2011-12,201209,,,23,223,10.31390135,111.7164841
State,,New York City,All,2011-12,201228,,,80,940,8.510638298,94.40472072
National,,,65 years and older,2011-12,201215,17,3126,3143,35961,8.740023915,103.1200412
State,,Montana,All,2011-12,201216,,,22,180,12.22222222,107.1245515
State,,Tennessee,All,2011-12,201230,,,80,1059,7.554296506,92.57496351
State,,New Mexico,All,2011-12,201152,,,16,330,4.848484849,106.7349655
State,,Connecticut,All,2011-12,201212,,,51,571,8.931698774,103.0356665
State,,Michigan,All,2011-12,201143,,,112,1676,6.682577566,99.26490175
State,,Vermont,All,2011-12,201219,,,12,107,11.21495327,106.6479088
Region,8,,All,2011-12,201235,0,75,75,1369,5.478451424,97.70523936
State,,Oregon,All,2011-12,201140,,,28,612,4.575163399,99.33753233
State,,Illinois,All,2011-12,201231,,,106,1879,5.641298563,97.34255091
State,,Massachusetts,All,2011-12,201235,,,84,989,8.493427705,97.94538399
State,,Ohio,All,2011-12,201239,,,139,2041,6.810387065,99.16496382
Region,2,,All,2011-12,201231,0,300,300,3864,7.763975155,93.0969489
State,,New Jersey,All,2011-12,201204,,,82,1501,5.46302465,112.7103603
State,,Arkansas,All,2011-12,201205,,,58,627,9.250398724,112.0600308
State,,New Mexico,All,2011-12,201148,,,25,291,8.591065292,94.1208332
State,,Arkansas,All,2011-12,201145,,,43,574,7.491289199,102.5876518
National,,,18-64 years,2011-12,201214,10,653,663,12181,5.442902882,101.7055665
National,,,65 years and older,2011-12,201151,4,3168,3172,36209,8.760252976,103.7715823
State,,Delaware,All,2011-12,201145,,,6,165,3.636363636,111.7393558
State,,Illinois,All,2011-12,201141,,,145,1904,7.615546219,98.63768863
State,,Pennsylvania,All,2011-12,201203,,,196,2529,7.750098853,104.9663094
State,,Ohio,All,2011-12,201151,,,143,2141,6.679121906,104.0236098
State,,Iowa,All,2011-12,201205,,,50,541,9.242144177,101.3553609
State,,West Virginia,All,2011-12,201231,,,34,378,8.994708995,91.69645759
State,,Maryland,All,2011-12,201208,,,83,954,8.700209644,114.5192324
State,,Vermont,All,2011-12,201235,,,5,94,5.319148936,93.69068625
State,,Maryland,All,2011-12,201234,,,51,829,6.15199035,99.51409191
State,,Oregon,All,2011-12,201218,,,51,679,7.511045655,110.2127197
State,,Nevada,All,2011-12,201143,,,23,375,6.133333333,98.18475646
State,,Arkansas,All,2011-12,201217,,,46,530,8.679245283,94.72378998
State,,Iowa,All,2011-12,201144,,,45,569,7.908611599,106.6011098
State,,Nevada,All,2011-12,201212,,,32,378,8.465608466,98.97023452
State,,North Dakota,All,2011-12,201235,,,6,119,5.042016807,104.5483207
Region,7,,All,2011-12,201227,0,132,132,2157,6.11961057,91.68120752
State,,District of Columbia,All,2011-12,201205,,,6,91,6.593406593,101.8965979
State,,Texas,All,2011-12,201215,,,244,3248,7.512315271,101.1322464
State,,New Jersey,All,2011-12,201145,,,90,1349,6.671608599,101.2966529
State,,Nebraska,All,2011-12,201140,,,23,307,7.491856678,105.1352636
State,,Illinois,All,2011-12,201234,,,117,1932,6.055900621,100.0882429
State,,Wyoming,All,2011-12,201140,,,8,74,10.81081081,88.12535613
State,,Nebraska,All,2011-12,201226,,,14,261,5.363984674,89.38209704
State,,Nevada,All,2011-12,201229,,,24,365,6.575342466,95.56649629
State,,California,All,2011-12,201221,,,350,4351,8.044127787,95.95795556
National,,,65 years and older,2011-12,201203,5,3579,3584,37785,9.485245468,107.2100379
State,,Delaware,All,2011-12,201214,,,11,161,6.832298137,109.030523
State,,Kansas,All,2011-12,201151,,,41,473,8.66807611,100.3166066
State,,Illinois,All,2011-12,201143,,,150,2024,7.411067194,104.8543497
Region,6,,All,2011-12,201239,0,368,368,5707,6.448221482,102.6647352
State,,Wyoming,All,2011-12,201224,,,6,68,8.823529412,80.98005698
State,,Oklahoma,All,2011-12,201144,,,45,735,6.12244898,105.560633
State,,New Hampshire,All,2011-12,201147,,,19,203,9.359605911,101.6970685
National,,,18-64 years,2011-12,201222,2,547,549,12028,4.56434985,96.73493837
State,,Idaho,All,2011-12,201230,,,8,210,3.80952381,94.47039325
State,,New Mexico,All,2011-12,201227,,,21,297,7.070707071,96.06146894
State,,Colorado,All,2011-12,201228,,,30,576,5.208333333,93.99125547
State,,District of Columbia,All,2011-12,201214,,,6,106,5.660377359,118.6927404
Region,5,,All,2011-12,201207,3,721,724,9087,7.967425993,107.8309279
State,,Connecticut,All,2011-12,201208,,,53,622,8.520900322,112.2385019
Region,1,,All,2011-12,201234,0,147,147,2164,6.79297597,94.52447881
State,,Maryland,All,2011-12,201219,,,55,816,6.740196078,97.9535573
State,,Texas,All,2011-12,201219,,,243,3225,7.534883721,100.4161005
State,,Arizona,All,2011-12,201232,,,41,931,4.40386681,102.6439201
State,,Florida,All,2011-12,201211,,,181,3346,5.409444112,100.8354482
Region,3,,All,2011-12,201234,1,317,318,4829,6.58521433,95.88094078
National,,,18-64 years,2011-12,201216,7,634,641,12323,5.201655441,102.766948
Region,8,,All,2011-12,201227,0,73,73,1344,5.431547619,95.92099467
National,,,All,2011-12,201215,23,3758,3781,49064,7.70626121,103.1200412
Region,2,,All,2011-12,201150,1,321,322,4142,7.774022212,99.79491779
State,,District of Columbia,All,2011-12,201227,,,3,84,3.571428571,94.05839807
State,,California,All,2011-12,201214,,,518,4865,10.64748201,107.2938299
State,,Indiana,All,2011-12,201223,,,75,1085,6.912442396,98.92509238
State,,Idaho,All,2011-12,201229,,,15,230,6.52173913,103.4675736
State,,North Carolina,All,2011-12,201210,,,139,1589,8.747640025,104.7663663
State,,Vermont,All,2011-12,201211,,,11,110,10,109.6380371
State,,Texas,All,2011-12,201225,,,224,3152,7.106598985,98.14311594
State,,Mississippi,All,2011-12,201234,,,28,554,5.054151625,99.97496007
State,,New York,All,2011-12,201230,,,114,1739,6.555491662,95.38870561
State,,Utah,All,2011-12,201150,,,28,309,9.061488673,108.1994404
State,,West Virginia,All,2011-12,201208,,,40,443,9.029345373,107.464367
Region,10,,All,2011-12,201222,2,123,125,1859,6.724045186,100.7112733
State,,Arizona,All,2011-12,201150,,,72,981,7.339449541,108.1564829
Region,7,,All,2011-12,201206,1,182,183,2469,7.411907655,104.942467
State,,Michigan,All,2011-12,201145,,,134,1707,7.850029291,101.1009471
State,,Wisconsin,All,2011-12,201225,,,67,876,7.648401827,96.65607281
State,,Wyoming,All,2011-12,201237,,,4,95,4.210526316,113.1339031
State,,Nebraska,All,2011-12,201220,,,23,276,8.333333333,94.51899916
State,,New Mexico,All,2011-12,201233,,,19,307,6.188925081,99.29586183
State,,Utah,All,2011-12,201220,,,16,324,4.938271605,113.4518404
State,,Michigan,All,2011-12,201223,,,110,1638,6.715506716,97.01426555
State,,North Carolina,All,2011-12,201151,,,131,1557,8.413615928,102.6565339
State,,Kentucky,All,2011-12,201230,,,45,784,5.739795918,96.7672592
